lib,async,sink,producers,msg_bytes,total,p50_ns,p99_ns,p999_ns,throughput
log-it-cpp,0,null,1,40,10000,109,203,534,4488493.52
log-it-cpp,0,null,1,200,10000,117,290,1856,3934122.33
log-it-cpp,0,null,1,1024,10000,136,312,1682,3567715.60
log-it-cpp,0,null,4,40,10000,126,15319,94404,2319369.26
log-it-cpp,0,null,4,200,10000,119,10115,40355,2127704.39
log-it-cpp,0,null,4,1024,10000,146,10216,214349,2264467.11
log-it-cpp,0,null,16,40,10000,140,131580,415269,2075223.53
log-it-cpp,0,null,16,200,10000,193,36615,743123,2497772.61
log-it-cpp,0,null,16,1024,10000,266,85031,633668,2144621.71
log-it-cpp,0,file,1,40,10000,121,269,650,2799664.15
log-it-cpp,0,file,1,200,10000,124,275,716,2097587.75
log-it-cpp,0,file,1,1024,10000,145,511,1795,733322.72
log-it-cpp,0,file,4,40,10000,117,9900,65099,1772829.93
log-it-cpp,0,file,4,200,10000,130,22075,57870,1035690.09
log-it-cpp,0,file,4,1024,10000,157,13453,1667894,643976.12
log-it-cpp,0,file,16,40,10000,115,187084,842912,1342559.94
log-it-cpp,0,file,16,200,10000,124,50219,1626965,1170190.11
log-it-cpp,0,file,16,1024,10000,148,25405,3726803,566942.69
log-it-cpp,1,null,1,40,10000,1175705,1526236,1540248,3712975.14
log-it-cpp,1,null,1,200,10000,1152097,1335974,1339469,2972361.79
log-it-cpp,1,null,1,1024,10000,20462,1494584,1503929,2036432.59
log-it-cpp,1,null,4,40,10000,34508,308989,365935,2045638.61
log-it-cpp,1,null,4,200,10000,20916,358790,399458,1846272.01
log-it-cpp,1,null,4,1024,10000,9452,84225,110180,1658989.97
log-it-cpp,1,null,16,40,10000,87967,587563,1151351,1875460.43
log-it-cpp,1,null,16,200,10000,48335,1089726,1625082,1658167.18
log-it-cpp,1,null,16,1024,10000,1234551,2674805,2725920,1804776.59
log-it-cpp,1,file,1,40,10000,140681,753198,801816,1276500.31
log-it-cpp,1,file,1,200,10000,5528547,11105933,11150211,503674.86
log-it-cpp,1,file,1,1024,10000,25137142,39518871,39564213,191725.46
log-it-cpp,1,file,4,40,10000,12575,273737,297619,738323.52
log-it-cpp,1,file,4,200,10000,255323,890675,928005,651384.49
log-it-cpp,1,file,4,1024,10000,1850610,7115904,7159258,303040.58
log-it-cpp,1,file,16,40,10000,33930,1867644,2345447,756677.49
log-it-cpp,1,file,16,200,10000,426534,2357036,3358853,667634.56
log-it-cpp,1,file,16,1024,10000,2311289,5436262,11175687,265718.63
spdlog,0,null,1,40,10000,86,192,554,5899252.56
spdlog,0,null,1,200,10000,86,186,1580,5248602.69
spdlog,0,null,1,1024,10000,87,214,1454,5910437.95
spdlog,0,null,4,40,10000,86,172,559,5993015.74
spdlog,0,null,4,200,10000,86,255,684,5803783.37
spdlog,0,null,4,1024,10000,117,326,1053,5736566.54
spdlog,0,null,16,40,10000,222,499,2276,3577015.10
spdlog,0,null,16,200,10000,196,477,8004,3662445.58
spdlog,0,null,16,1024,10000,211,450,1543,3532033.78
spdlog,0,file,1,40,10000,87,250,575,3814025.09
spdlog,0,file,1,200,10000,86,312,565,2573591.20
spdlog,0,file,1,1024,10000,86,265,623,897157.33
spdlog,0,file,4,40,10000,133,454,24213,2011432.18
spdlog,0,file,4,200,10000,87,408,662,1593986.97
spdlog,0,file,4,1024,10000,98,384,937,657420.23
spdlog,0,file,16,40,10000,97,579,11706,1837120.53
spdlog,0,file,16,200,10000,87,391,2032,1478129.30
spdlog,0,file,16,1024,10000,87,357,887,699514.86
spdlog,1,null,1,40,10000,3349258,5502679,5526768,1111633.58
spdlog,1,null,1,200,10000,2676022,4094926,4122755,1059325.96
spdlog,1,null,1,1024,10000,10823100,19626164,19657067,396399.69
spdlog,1,null,4,40,10000,4437322,5431100,5437782,1405912.54
spdlog,1,null,4,200,10000,1248779,2945290,2948615,1303572.60
spdlog,1,null,4,1024,10000,2442253,4282236,4361747,600106.64
spdlog,1,null,16,40,10000,3974670,5709072,5902571,1266170.42
spdlog,1,null,16,200,10000,2037113,3986478,4749528,1007207.27
spdlog,1,null,16,1024,10000,12017018,15377451,15732828,547379.20
spdlog,1,file,1,40,10000,5018086,5523521,5552618,870564.10
spdlog,1,file,1,200,10000,6018301,7355055,7451697,1093601.82
spdlog,1,file,1,1024,10000,41409771,63082440,63144317,168458.54
spdlog,1,file,4,40,10000,4183717,5801144,5826400,1147332.00
spdlog,1,file,4,200,10000,5001140,6010815,6026417,1153975.67
spdlog,1,file,4,1024,10000,22969210,24002439,24456153,452730.62
spdlog,1,file,16,40,10000,3597110,4807764,5038756,1086596.88
spdlog,1,file,16,200,10000,4979452,5587979,5934658,1433801.53
spdlog,1,file,16,1024,10000,13562553,14847888,15383562,654139.97
